Willful Homicide,"100, 103, 110, 120, 121"
Manslaughter - Non Vehicular,"150, 151, 155"
Manslaughter - Vehicular,160
Forcible Rape (2005-2013),"600, 610, 611, 620, 621, 630, 635"
Rape (2014-current),"600, 610, 611, 620, 621, 630, 635, 705, 710-714, 731-734, 791"
Robbery,"200, 210, 220, 230, 240, 250"
Assault,"300, 310, 320, 321, 323, 330, 341-345, 350-353, 360-365, 370-373, 380, 382-385, 390-393"
Kidnapping,"880-884, 891"
Burglary,"400, 410, 420, 425, 430, 440, 450"
Theft,"500-505, 510, 511, 530, 531, 550-552, 572"
Motor Vehicle Theft,"560, 561, 570, 571"
"Forgery, Checks, Access Cards",580-585
Narcotics,800-804
Marijuana,"810-813, 815, 828"
Dangerous Drugs,"820-822, 825"
Other Drug Law Violations,"805, 831-835, 851"
Lewd or Lascivious,700
Unlawful Sexual Intercourse,640
Other Sex Law Violations (2005-2013),"705, 710-714, 720, 730-734,  740, 750, 751, 760, 770, 775, 780, 781, 790-794"
Other Sex Law Violations (2014-current),"720, 730, 740, 750, 751, 760, 770, 775, 780, 781, 790, 792-794"
Weapons,840-845
Drive Under the Influence,"850, 854, 855"
Hit-and-Run,860
Escape,870-875
Bookmaking,890
Arson,"920-925, 927"
Felony Traffic,865
Accessory,900
Treason,905
Abortion,"910, 911"
Bigamy,930
Bribery,940-946
Extort,"950, 960, 961"
Neglect,"970, 971"
Perjury,"980, 981"
Malicious Mischief,"063, 064"
Gambling,075
Other Felony,"935, 985, 990-995, 998"
Federal Offense,090-092
Outside Warrant - Felony,065
Probation/Parole-Felony,"093, 094"
Vehicular Manslaughter,166
Assault and Battery,"346, 366, 376, 377, 396-399"
Petty Theft,"516, 517, 518"
Other Theft,"506, 537, 556-558"
"Checks, Access Cards","586, 587"
Marijuana,"816, 819, 829"
Dangerous Drugs,"826, 827"
Other Drug Law Violations,"817, 818, 836-839, 857"
Indecent Exposure,766
Annoying Children,"646, 776, 777"
Obscene Matter,"786, 787"
Lewd Conduct,026
Prostitution,028
Contributing Delinquency of Minor,726
Drunk,046
Liquor Laws,"077, 078"
Disorderly Conduct,057
Disturbing Peace,"036, 056"
Vandalism,066
Malicious Mischief,067
Trespassing,068
Weapons,846-849
Drive Under the Influence,"856, 858-859"
Hit-and-Run,867
Selected Traffic,"088, 089, 869"
Joy Riding,576
Gambling,076
Non-support,976
Glue Sniffing,059
CI/CO Ordinances,097
Failure to Appear/Non-Traffic,098
Burglary Tools,"476,478"
Other Sex Offenses,"737, 738, 739"
Escape,876
Arson - Misdemeanor,"926, 929"
Burglary - Misdemeanor,406
Highway,016
Fail to Register,027
Public Nuisance,058
Contempt of Court,079
Extort,966
Neglect,977
Perjury,986
Other Misdemeanors,"048-049, 096, 099, 746, 936"
Civil Drunk,047
O/S Warrant-Misdemeanor,069
Probation/Parole - Misdemeanor,"017, 018"
Miscellaneous Traffic,"086, 087"
Truancy,001
Runaway,002
Curfew,003
Incorrigible,007
Other Status Offenses,"004, 006, 009, 011"
Unknown or Medical Assist,000
,
